iter	Passed	Remaining
0	3	375
1	6	316
2	9	300
3	11	275
4	14	268
5	17	272
6	22	299
7	25	294
8	31	317
9	36	328
10	40	325
11	45	337
12	49	333
13	53	326
14	58	333
15	64	341
16	67	331
17	70	321
18	73	314
19	80	321
20	83	314
21	86	306
22	91	306
23	94	300
24	98	296
25	103	294
26	109	297
27	114	293
28	120	295
29	124	290
30	129	287
31	139	297
32	144	292
33	149	289
34	152	283
35	156	277
36	159	272
37	166	271
38	169	265
39	173	260
40	182	262
41	184	254
42	187	248
43	190	242
44	196	240
45	200	235
46	204	231
47	214	232
48	218	227
49	229	229
50	233	224
51	245	226
52	249	221
53	257	219
54	260	213
55	263	207
56	268	202
57	278	201
58	281	195
59	291	194
60	294	188
61	298	182
62	307	180
63	321	180
64	328	177
65	339	174
66	355	175
67	359	169
68	363	163
69	376	161
70	382	156
71	389	151
72	402	148
73	408	143
74	435	145
75	442	139
76	455	136
77	459	129
78	467	124
79	472	118
80	485	113
81	514	113
82	519	106
83	523	99
84	530	93
85	536	87
86	546	81
87	550	75
88	571	70
89	575	63
90	579	57
91	582	50
92	589	44
93	592	37
94	595	31
95	607	25
96	611	18
97	617	12
98	631	6
99	635	0
