iter	Passed	Remaining
0	247	247211
1	250	125168
2	257	85494
3	261	65116
4	265	52895
5	269	44587
6	304	43149
7	307	38104
8	317	34957
9	320	31721
10	327	29440
11	335	27660
12	340	25818
13	356	25100
14	359	23601
15	364	22401
16	367	21273
17	371	20251
18	374	19350
19	379	18592
20	382	17831
21	400	17788
22	403	17126
23	408	16616
24	412	16102
25	416	15587
26	419	15103
27	424	14750
28	428	14337
29	448	14504
30	451	14117
31	458	13881
32	462	13555
33	466	13240
34	473	13044
35	476	12768
36	479	12491
37	485	12296
38	513	12663
39	519	12458
40	522	12214
41	525	11982
42	534	11905
43	537	11680
44	540	11462
45	542	11259
46	547	11104
47	550	10917
48	552	10729
49	555	10556
50	558	10386
51	563	10275
52	566	10116
53	568	9962
54	571	9814
55	575	9695
56	578	9563
57	580	9428
58	582	9295
59	585	9173
60	588	9060
61	591	8950
62	594	8836
63	596	8724
64	599	8620
65	601	8516
66	605	8425
67	607	8331
68	610	8236
69	614	8158
70	618	8094
71	622	8029
72	625	7941
73	627	7857
74	630	7773
75	633	7703
76	636	7630
77	639	7554
78	641	7479
79	644	7409
80	646	7340
81	651	7291
82	652	7209
83	654	7141
84	657	7076
85	659	7013
86	666	6992
87	668	6930
88	671	6872
89	674	6816
90	676	6762
91	680	6717
92	683	6661
93	685	6606
94	687	6550
95	689	6496
96	692	6448
97	695	6399
98	697	6350
99	701	6312
100	703	6266
101	709	6249
102	713	6215
103	716	6169
104	719	6128
105	725	6117
106	728	6079
107	731	6044
108	741	6063
109	745	6030
110	748	5994
111	753	5970
112	758	5952
113	771	5997
114	775	5970
115	779	5937
116	787	5945
117	791	5913
118	800	5927
119	807	5922
120	810	5886
121	819	5896
122	824	5877
123	831	5875
124	837	5861
125	841	5834
126	845	5814
127	851	5798
128	865	5843
129	871	5833
130	874	5802
131	892	5866
132	896	5843
133	901	5823
134	903	5791
135	906	5757
136	911	5740
137	914	5710
138	919	5695
139	924	5676
140	926	5645
141	928	5609
142	933	5596
143	937	5573
144	942	5557
145	950	5558
146	955	5545
147	958	5516
148	962	5499
149	965	5473
150	971	5462
151	975	5444
152	981	5431
153	985	5413
154	987	5385
155	992	5368
156	995	5344
157	998	5320
158	1000	5294
159	1003	5267
160	1007	5249
161	1009	5224
162	1012	5199
163	1015	5174
164	1017	5151
165	1021	5131
166	1024	5108
167	1026	5084
168	1029	5063
169	1032	5040
170	1035	5021
171	1039	5001
172	1041	4978
173	1043	4954
174	1046	4931
175	1048	4907
176	1051	4888
177	1053	4863
178	1055	4840
179	1057	4818
180	1060	4797
181	1062	4774
182	1067	4764
183	1069	4743
184	1071	4721
185	1073	4699
186	1075	4677
187	1078	4659
188	1081	4639
189	1083	4618
190	1085	4597
191	1087	4576
192	1089	4556
193	1091	4535
194	1096	4525
195	1098	4504
196	1100	4484
197	1102	4464
198	1104	4446
199	1106	4426
200	1111	4417
201	1113	4400
202	1116	4383
203	1118	4365
204	1121	4348
205	1124	4334
206	1127	4319
207	1129	4300
208	1131	4282
209	1133	4263
210	1135	4247
211	1139	4234
212	1141	4218
213	1143	4199
214	1145	4182
